laplacian operator
unknown pattern
word line
work station
access authority
arithmetic addition
basic language
coding system
compiler language
correlation analysis
critical path
cycle time
density function
development time
duty cycle
dynamic programming
feedback control
flow direction
galerkin method
information retrieval
linear interpolation
machine cycle
packaging density
power spectrum
scanning method
setup time
storage device
supervisory system
system down
system evaluation
system development
transport mechanism
visual communication
video tape
analog multiplier
bell laboratories
bibliographic information
board mounting
building block
communication link
computer program
conditional probability
data transmission
decision rule
feasibility study
functional block
input unit
international connection
inverse system
list processing
longitudinal recording
main storage
minimax approximation
multilayer board
multiple regression
output data
program analysis
pulse width
random variable
set theory
signal detection
spread sheet
syntax checker
vector space
visual simulation
weight function
word recognition
acoustic wave
analysis program
arithmetic operation
character reader
conditional information
conversational mode
critical section
declarative statement
difference method
draft proposal
equivalent transformation
graphic data
human communication
input data
joint distribution
main program
number representation
output channel
peripheral equipment
program development
recurrence relation
sequential control
shift register
storage system
strongly connected
system design
test bed
background noise
binary relation
bus system
communication channel
computer simulation
computer system
complete graph
computer language
data retrieval
decision problem
diffusion approximation
eigenvalue problem
gaussian distribution
gradient method
hot spot
integrated circuit
intermediate language
logic design
logical expression
machine instruction
manual input
natural language
optical computer
performance index
process computer
quality factor
raw data
real time
satellite communication
surface structure
switching network
terminal equipment
testing system
test pattern
to edit
track following
truncation error
word boundary
axiom system
batch processing
block structure
coordinate data
cost performance
data bank
dense matrix
display device
document reader
dynamic range
educational technology
error correcting
eye movement
finite dimensional
frame system
functional unit
graphic display
indirect addressing
information transfer
information channel
information interchange
information content
information system
language system
linear motor
lower bound
magnetic domain
magnetic card
message retransmission
pattern recognition
phase compensation
pitch extraction
random access
regression analysis
response time
secondary storage
sense amplifier
simulation program
single precision
state variable
stochastic process
video signal
access time
advanced control
analysis method
clock pulse
communication network
communication facility
control sequence
definite clause
design review
film recorder
instruction address
maintenance management
morphological analysis
nonlinear programming
objective function
output function
page address
parallel system
problem solving
program package
random number
resource allocation
resolution principle
scanning line
simple matrix
source program
speech spectrum
support system
time series
to segment
white noise
wired logic
associative processor
buffer control
case grammar
case frame
crossbar switch
data logger
decision making
disk unit
dynamic model
evaluation system
finite field
file control
graph theory
group delay
identification number
infinite dimensional
magnetic disk
network operation
one chip
operation manual
page table
physical design
processing time
program maintenance
program conversion
semantic marker
simulation model
system failure
telephone network
terminal user
transmission control
type theory
actual coding
area code
command language
common memory
consultation system
control block
demonstration system
discriminant analysis
display terminal
flight simulation
hardware monitor
hidden line
hierarchical structure
hybrid system
markov property
minimum element
physical security
ray tracing
stack machine
technical standards
tracing method
voice quality
accounting information
conceptual design
complex object
construction management
data track
data line
data base
data communication
decision table
dedicated computer
discrete representation
dynamic structure
environmental information
error estimate
exhaustive search
feedback loop
feed forward
file data
flow analysis
formula manipulation
garbage collection
impulse noise
instruction set
internal representation
internal code
library routine
output mode
parallel data
phase transition
phase jitter
phase modulation
picture element
pipeline operation
portable terminal
program specification
prosodic rules
prototype system
recovery procedure
remote sensing
rounding error
semantic analysis
system simulation
system component
system model
vocal tract
window control
buffer memory
computer code
computer education
development system
discrete data
equivalence class
flight simulator
full associative
full duplex
functional requirement
input terminal
input channel
instruction code
intensity modulation
interactive graphics
job class
language processor
liquid crystal
mother board
production system
seek time
semiconductor memory
spatial frequency
speech signal
transmission efficiency
user needs
variable block
analog input
application system
assembly language
branch instruction
bus structures
communication processor
coordinate transformation
control structure
cross talk
data network
data file
digital transmission
disk storage
distance information
fixed routing
host machine
input area
input operation
interactive system
internal clock
learning machine
lexical analysis
locking method
main memory
mass storage
network control
numeric data
optical head
output process
pade approximation
priority processing
quality assurance
resource management
retrieval time
rhetorical structure
semantic feature
service routine
single chip
speech understanding
speech generation
speech synthesis
static structure
storage management
structure model
target program
truth value
analog output
backup system
bit density
bit line
burst error
character pattern
conceptual model
control model
data management
data link
data array
error rate
formant frequency
functional hierarchy
ic card
input program
measurement error
media conversion
modulation rate
operator console
partial pivoting
performance evaluation
secondary memory
side effect
source level
speech production
spline function
state probability
system dynamics
system management
system configuration
synthesis method
system generator
system house
threshold voltage
training simulator
tree search
uncertain knowledge
access method
communication area
communication control
computer network
contour tracing
corrective maintenance
data definition
design tool
digital filter
dynamic storage
execution time
external storage
fourier transform
josephson junction
language design
line deletion
logical file
logic function
memory cell
memory device
operating system
optical communication
order structure
positive feedback
program module
programming language
recording track
resource sharing
sequential processing
spatial filter
structured programming
system manager
terminal controller
tree structure
abstract machine
application program
beam position
binary code
bit pattern
character processing
circuit switching
clock generator
conceptual schema
data switching
data cartridge
data set
data entry
display screen
discrete model
division algorithm
dynamic ram
dynamic memory
electromagnetic shield
end system
euclidean algorithm
external memory
file memory
flow graph
format specification
garbage collector
hardware stack
image display
inference machine
information distribution
input series
language understanding
machine architecture
memory address
message processing
minimax method
performance analysis
plasma display
prediction model
printed wiring
programmable controller
standard cell
static ram
static memory
storage media
telecommunication network
test mode
unvoiced source
virtual call
abstract data
address bus
arithmetic processor
arrival rate
block size
bit operation
board computer
cellular system
character input
compilation method
computer graphics
data item
data bus
dedicated system
distortion measure
distributed processing
error detection
error correction
game theory
host computer
log data
local memory
microcomputer architecture
object code
paging algorithm
pitch frequency
print head
register set
resource manager
signal processor
software error
software system
state transition
support software
system software
system bus
text manipulation
test tool
bit stream
cash dispenser
chebyshev polynomial
communication processing
computer architecture
data security
data flow
data rate
digital recording
dot matrix
dual processor
dynamic logic
electronic mail
error recovery
file processing
floating gate
frame problem
gray level
hidden surface
heuristic search
image memory
interpreter language
linear prediction
macro instruction
matching method
meaning representation
memory addressing
module generator
multimicroprocessor system
optical cable
output buffer
packet switching
parallel processor
parallel access
polynomial ring
probabilistic model
program optimization
propagation delay
relational calculus
requirements definition
sampling frequency
satellite link
software reliability
standard interface
surface model
system environment
text processing
test process
timing analyzer
word dictionary
word processing
analog memory
baseband signal
basic software
bessel function
character string
closed formula
conditional branch
context free
credit card
data exchange
data format
data source
digital network
digital servo
distributed control
dual port
floppy disk
functional dependency
geometric model
host processor
image processing
job scheduling
learning curve
likelihood ratio
logic simulator
loosely coupled
memory module
memory chip
microprocessor architecture
module structure
page mode
prediction error
print speed
recursively enumerable
retrieval function
search strategy
semiconductor device
serial scan
serial interface
servo track
software package
sparse matrix
volatile storage
address space
associative retrieval
bit map
capacity planning
clock frequency
communication cost
composition method
concurrent process
concurrent processing
control flow
control parameter
cross software
display image
disk drive
distributed database
document retrieval
formal specification
frame buffer
hadamard transform
image scanner
information structure
join dependency
logical address
machine translation
markov process
memory area
multiple bus
office computer
office automation
online system
parallel program
picture size
projective transformation
requirements analysis
scene analysis
security policy
service definition
software development
software maintenance
system clock
thermal recording
touch panel
transaction data
user identification
video ram
address generation
application software
array type
attribute grammar
bipolar transistor
cognitive psychology
coding theory
commutative ring
data stream
data dictionary
design rule
dynamic image
editor program
feedforward control
file manager
frame memory
hardware algorithm
home bus
huffman code
image generation
image data
image processor
input mode
inverse filtering
key management
mainframe computer
membrane keyboard
message transfer
multiprocessor system
net list
nonvolatile storage
office processor
optical memory
optical fiber
pipeline processing
signaling system
software management
software productivity
speech processing
standard file
stereo image
symbolic layout
vector processor
virtual circuit
virtual memory
video recording
voice response
waveform coding
word processor
artificial intelligence
bar code
bit rate
broadband system
bubble sort
coding scheme
computed tomography
computer literacy
computer security
contract model
data compression
database management
design automation
directed graph
digital circuit
digital image
electronic publishing
factory automation
file system
gate array
human interface
inference rule
intelligent interface
intelligent robot
laser processing
layout design
library function
logic gate
loop connection
menu selection
packaging design
parallel processing
paper jam
personal computing
personal computer
privacy protection
printer port
processing program
procedure call
process scheduling
progress management
public network
relational model
retrieval key
ring network
robot language
semiconductor laser
shared resource
system resource
text editor
turtle graphics
unnormalized relation
video system
vme bus
access speed
authoring system
balanced tree
bus cycle
cache memory
cell library
