abnormal weather
extremely early
f1 hybrid
fabricated food
factorial design
fall cropping
fall seeding
fallopian tube
fallow period
farm animal
farm household
farm land
farm management
farm planning
farm pond
farm road
farm size
farm tractor
farming group
fat-soluble vitamin
fatty liver
feed ingredient
feed inspection
feed intake
feed unit
feeding speed
feeding standard
feeding stimulant
feeding value
female flower
fermented hay
fermented milk
fertile soil
fertilized egg
fertilizer application
fertilizer applicator
fertilizer injection
fertilizer response
fertilizing standard
fibrous root
field cutting
field heaping
field infection
field investigation
field resistance
field sanitation
field system
field test
field-moist soil
filter material
final yield
fine earth
fine sand
first cutting
first flower
first setting
fish egg
fish meal
fish oil
fishery right
fishing gear
fishing method
fishing net
fix planting
fixed cost
fixed line
flag leaf
floating rice
flood damage
floral differentiation
floral organ
flour mill
flow chart
flow diagram
flower budding
flower growing
flower induction
flower picking
flower setting
flower stalk
flower thinning
flower vase
flowering habit
flowering order
flowering regulation
flowering time
flying-out flour
fog cooling
fog machine
foliar application
foliar spray
foliation stage
food factor
food habit
food ingredient
food irradiation
food microbiology
food plant
food processing
food safety
food web
foot rot
forage crop
forage harvester
forced ventilation
forcing culture
foreign matter
forest age
forest grazing
forest industry
forest insect
forest inventory
forest land
forest management
forest products
forest protection
forest recreation
forest road
forest survey
forest tree
forest type
forest vegetation
formula feed
four-wheel tractor
fowl cholera
free barn
free radical
free stall
free water
freezing damage
freezing hardiness
freezing injury
frequency distribution
frequency table
fresh cocoon
front yard
frost damage
frost injury
frozen food
frozen meat
frozen semen
frozen storage
fruit apex
fruit body
fruit bunch
fruit cracking
fruit drop
fruit growing
fruit percentage
fruit thinning
fruit vegetables
fruiting body
full bloom
full sib
functional property
fungicidal activity
furrow application
furrow opener
galacturonic acid
gamma irradiation
gas storage
gaseous phase
gastric juice
gel electrophoresis
gel filtration
gelatinized starch
gene action
gene amplification
gene analysis
gene bank
gene dosage
gene engineering
gene frequency
gene manipulation
gene pool
genealogical tree
general appearance
generation interval
generation time
genetic background
genetic correlation
genetic effect
genetic gain
genetic heterogeneity
genetic marker
genetic variability
genital organ
genome constitution
genotypic correlation
genotypic value
genotypic variance
geomorphic surface
germination rate
germination speed
germination test
gibberellin treatment
gluconic acid
glucuronic acid
glutinous rice
good seedling
grain dryer
grain length
grain production
grain storage
grain weight
gram negative
gram positive
gram-positive bacteria
gramineous weed
grass hay
grass species
grass type
grass weed
grassland management
grazing capacity
grazing forest
grazing land
grazing pressure
green algae
green belt
green manure
green revolution
green wood
greenhouse culture
gross energy
gross production
ground making
ground meat
ground pulp
ground skidding
groundwater runoff
groundwater table
growing point
growing process
growing season
growth analysis
growth cabinet
growth curve
growth cycle
growth factor
growth habit
growth hormone
growth period
growth phase
growth process
growth promotion
growth rate
growth regulator
growth respiration
growth retardant
growth stage
growth type
guinea pig
gully erosion
gum arabic
gun nozzle
habitat segregation
hairy root
haploid generation
hard wheat
hardness tester
harvest index
harvesting machine
harvesting time
head formation
head length
head type
head works
head-feeding combine
heading date
heading time
heart beat
heart rate
heat balance
heat capacity
heat conduction
heat exchange
heat insulation
heat production
heat sterilization
heat stroke
heat tolerance
heat treatment
heating method
heavy soil
heavy-manuring culture
height curve
herd management
high ridge
high tide
hill spread
hip bone
hip width
hog cholera
holding capacity
hole treatment
home range
hoof cutting
horizontal distribution
host plant
host range
host selection
host specificity
hot press
hot pressing
hot-air heating
hull-cracked rice
human power
humic acid
hunting season
hydraulic control
hydrostatic pressure
hypersensitive reaction
illuvial horizon
immature grain
immature soil
immobilized enzyme
impermeable layer
imported timber
improved pasture
improved variety
in vitro
in vivo
inbreeding coefficient
inbreeding degeneration
inclusion body
incubation period
indica type
indicator plant
indigenous species
individual milk
individual selection
individual variation
induced resistance
infection route
infection type
infectious mastitis
infested plant
infiltration method
infrared rays
initial cell
inland water
inner wall
inorganic fertilizer
insect damage
insect fauna
insect pest
insect pollination
insect resistance
insect vector
insecticidal action
insectivorous plant
insulating material
intake rate
integrated control
intensive grazing
interannual variation
intergeneric crossing
intergeneric hybrid
intermediary metabolism
intermediate stock
intermittent irrigation
internal therapy
international unit
internode elongation
interspecific competition
interstitial tissue
intrarow spacing
intravenous administration
introduced species
introduced variety
ion-exchange chromatography
ionic strength
iron bacteria
irrigation area
isoelectric point
isolated culture
itaconic acid
japanese bantam
japanese cattle
japanese quail
japanese shorthorn
japanese tusser
japonica type
jar fermentor
jungle fowl
juvenile form
keeping quality
kernel weight
ketone body
key species
killer yeast
knapsack sprayer
korean cattle
kuroboku soil
lactation period
lactic acid
lag phase
laminated wood
land form
land grading
land improvement
land leveling
land preparation
land readjustment
land subsidence
land use
land utilization
landscape architecture
large farmer
large intestine
late flowering
late frost
late maturity
late seeding
late variety
latent bud
latent heat
latent infection
latent period
lateral branch
lateral bud
lateral shoot
laurel forest
lawn grass
leaf age
leaf blade
leaf blight
leaf burn
leaf composition
leaf curl
leaf position
leaf rust
leaf sheath
leaf stage
leaf temperature
leaf vegetables
lean meat
lethal dosage
lethal gene
life habit
life history
life period
life span
life system
light culture
light intensity
light pruning
lime sower
limiting factor
line breeding
linear programming
linear regression
linkage group
linkage map
linseed oil
liquid culture
liquid egg
liquid medium
litter size
live weight
liver abscess
livestock barn
livestock farming
livestock insurance
livestock market
living prey
loaf volume
local climate
local lesion
local variety
locational conditions
lodging resistance
logarithmic phase
long-day treatment
low-density lipoprotein
lower tree
lowland field
lumber industry
lunar age
lytic enzyme
machine oil
made land
magnesium deficiency
main branch
main culm
main root
main shaft
main stem
main tree
major component
major gene
male flower
male plant
male sterile
male sterility
mammary gland
management plan
manganese deficiency
manganese excess
manufactured tea
manuring practice
marginal variegation
marine fish
marker gene
market price
market value
mass balance
mass selection
master plan
maternal inheritance
mating type
maturation period
mature larva
mature leaf
mature tree
mean drying
mean square
measured value
meat extract
meat meal
mechanical inoculation
medium size
medium variety
membrane filter
mendelian population
metabolic error
metabolic pathway
metabolizable energy
meteorological data
meteorological disasters
meteorological phenomena
methane fermentation
microbial degradation
microbial pesticide
milk can
milk replacer
milk serum
milk sugar
milk yield
milking machine
mineral deficiency
mineral element
mineral nutrition
mineral soil
minimal medium
minor crop
miss-planted rate
mist blower
mist sprayer
mitotic stage
mixed cropping
mixed culture
mixed feed
mixed fertilizer
mixed forest
mixed infection
mixed seeding
model test
moisture absorption
moisture content
moisture gradient
moisture meter
moisture tension
molecular genetics
molecular orbital
monoclonal antibody
monosomic analysis
monozygotic twins
moor land
morphological character
mother bulb
mother stock
mother tuber
motor cell
mountain dairy
mountain village
mountain zone
moving average
mucous membrane
multi-span greenhouse
multiple correlation
multiple cropping
multiple factors
multiple genes
multiple regression
multiple resistance
multivariate analysis
muscular dystrophy
mustard oil
mutation site
mutual shading
national park
native breed
native species
natural circulation
natural environment
natural food
natural form
natural infection
natural landscape
natural pollination
natural regeneration
natural seedling
natural selection
natural vegetation
natural ventilation
naturalized weed
necrotic lesion
necrotic spot
negative correlation
net production
nicotinic acid
nitrate nitrogen
nitrate poisoning
nitrifying bacteria
nitrogen deficiency
nitrogen fertilizer
nitrogen source
nitrogen starvation
nitrogenous fertilizer
non-breeding season
non-irrigation period
non-newtonian fluid
non-protein nitrogen
non-tillage seeding
non-tilled cropping
normal distribution
normal population
normal type
normal value
noxious weed
nuclear transplantation
nucleic acid
null hypothesis
nursery plant
nutrient agar
nutrient broth
nutrient uptake
o horizon
oil cake
oil content
oil crop
oil solution
old leaf
old tree
olfactory sense
olive oil
oolong tea
open culture
open field
open space
opportunity cost
optical isomer
optical microscope
optical resolution
optical rotation
optimum condition
optimum cooking
optimum density
oral administration
oral cavity
oral inoculation
organic phosphorus
organochlorine pesticide
oriental region
original strain
ornamental plant
osmotic pressure
outdoor culture
ovarian atrophy
overhead watering
ovule culture
oxidation-reduction potential
oxygen electrode
packaging machine
packaging material
paddy farming
paddy rice
paddy soil
pantothenic acid
parasitic disease
parent compound
parent material
partial regression
parturient canal
parturient paresis
pasture grass
pathogenic bacterium
pea comb
peat soil
pedigree method
perennial plant
perennial weed
perfect flower
perilla oil
peripheral nerve
perishable food
permanent charge
permanent wilting
peroxide value
pest control
pest insect
pest resistance
pesticide applicator
pesticide pollution
pesticide spray
pet animal
petri dish
pf value
phase variation
phenotypic correlation
phenotypic selection
phenotypic value
phenotypic variance
photochemical reaction
photoperiodic response
photosynthetic ability
photosynthetic activity
photosynthetic bacteria
photosynthetic capacity
photosynthetic efficiency
photosynthetic products
photosynthetic rate
phylogenetic tree
physical control
physiological disorder
pig house
pilot farm
pipe drain
pipe duster
pipe house
pipeline milker
pit splitting
pithy tissue
pituitary gland
plant breeding
plant community
plant cover
plant height
plant husbandry
plant length
plant nutrient
plant patent
plant phenology
plant physiology
plant protection
plant quarantine
plant type
planted area
planting density
planting furrow
planting ground
planting hole
plasma membrane
plastic film
plastic greenhouse
plow bottom
poisson distribution
polar body
pollen abortion
pollen parent
pollen sac
pollen sterile
pollen sterility
polyvinyl chloride
poor drainage
popular name
population density
population genetics
population growth
population size
portal vein
positive correlation
post-harvest treatment
pot culture
pot experiment
pot flower
potassium chloride
potassium deficiency
potassium fertilizer
poultry house
poultry manure
power sprayer
preceding crop
pregnancy diagnosis
premature birth
preventive effect
primary culture
primary infection
primary limb
primary mineral
primary selection
primary structure
primary tiller
problem soil
process cheese
processing suitability
production adjustment
production cost
production function
production trait
productive stem
productive structure
propionic acid
protected horticulture
protein body
protein hydrolysate
protein metabolism
protoplast fusion
pruning machine
public facilities
pure breed
pure culture
purple rice
purse seine
pyruvic acid
qualitative analysis
quality inspection
quantitative analysis
quantitative character
quick freezing
quick-acting fertilizer
race horse
radial section
radiation damage
radiation thermometer
radiative heating
rainfall intensity
rainy season
rake angle
random number
rank correlation
rapeseed oil
raw silk
reaction kinetics
ready-mixed concrete
rearing piggery
recessive gene
recessive mutation
reclaimed land
recommended variety
rectal palpation
recurrent selection
red soil
red tide
redox potential
reducing sugar
reduction division
refractometer index
refrigerated warehouse
regional agriculture
regression coefficient
regression equation
regression line
regular planting
regulating reservoir
regulator gene
reinforced concrete
relative humidity
remote crossing
remote sensing
removal method
repeated application
repeated selection
replant failure
replica method
reproductive cycle
reproductive growth
reproductive isolation
reproductive organ
reserve protein
reserve starch
reserve substance
residence time
resistance factor
resistant rootstock
resistant variety
respiration heat
respiratory activity
respiratory organ
respiratory quotient
respiratory rate
rest period
resting period
restoring gene
restricted feeding
restriction enzyme
retarding culture
reverse mutation
reverse osmosis
reynolds number
ribosomal rna
rice bran
rice cropping
rice grain
rice hull
rice inspection
rice seed
rice starch
rice straw
rice transplanter
rice transplanting
ridge plowing
ridge side
riding horse
rill erosion
rind puffing
ring spot
ripening period
river basin
river system
roller conveyor
root apex
root ball
root box
root crops
root hair
root nodule
root pruning
root rot
root system
root taking
root tip
root type
root vegetables
root wrapping
root zone
root-lesion nematode
rooted cutting
rooting zone
rotary tiller
rotational application
rotational grazing
rough rice
row space
royal jelly
rump length
running water
runoff coefficient
rural community
rural development
rural planning
rural society
safety factor
salad oil
saline soil
salinity tolerance
salt accumulation
salt injury
salt tolerance
salt wedge
sample tree
sand culture
sandy loam
sandy soil
sap inoculation
saturation deficit
scaly bulb
scaly leaf
scented rice
scientific name
seasonal migration
seasonal variation
sebaceous gland
second crop
secondary constriction
secondary growth
secondary spore
secondary tuber
secular variation
sedimentation method
sedimentation tank
seed coat
seed contamination
seed disinfection
seed orchard
seed preservation
seed presoaking
seed production
seed propagation
seed selection
seed setting
seed treatment
seed tree
seed tuber
seeding density
seeding machine
seedless fruit
seedling method
seedling stage
seedling test
segregating population
selection criteria
selection cutting
selection differential
selection index
selection intensity
selection limit
selection pressure
selective mating
selective medium
self-supplied feed
seminal fluid
seminal root
sensible temperature
sensory test
setting time
sewage irrigation
sewage sludge
sex attractant
sex control
sex differentiation
sex discrimination
sex expression
sex hormone
sex pheromone
sex ratio
sexual cycle
sexual maturation
sexual reproduction
sexual selection
shade tolerance
shallow planting
shallow plowing
shape index
shifting cultivation
shoot apex
shoot blight
short day
short grass
short-day treatment
short-term rotation
sibling species
side vent
silk fabric
silk yarn
silkworm rearing
silky fowl
simple correlation
simple lattice
simple leaf
single comb
single cross
single leaf
site condition
sluice gate
small intestine
smoke drying
smoking agent
snow cover
snow endurance
snow resistance
sodium silicate
soft rot
soil acidity
soil aeration
soil aggregate
soil air
soil amelioration
soil amendment
soil amendments
soil analysis
soil application
soil association
soil chemistry
soil component
soil conditioner
soil contamination
soil cover
soil covering
soil crushing
soil disinfectant
soil dressing
soil erosion
soil extract
soil fauna
soil fertility
soil hardness
soil horizon
soil improvement
soil loss
soil management
soil map
soil mechanics
soil microorganism
soil moisture
soil monolith
soil organism
soil packing
soil particle
soil physics
soil pore
soil productivity
soil profile
soil property
soil reaction
soil salinity
soil series
soil solution
soil sterilization
soil strength
soil survey
soil temperature
soil test
soil texture
soil treatment
soil type
soil water
soilless culture
solar drying
solid culture
solid feed
solid fertilizer
solid matter
solid medium
solid phase
soluble solids
solution culture
somatic cell
sooty mold
sour milk
sowing machine
soybean flour
soybean meal
soybean oil
sparse planting
special feed
species specificity
specific gravity
specific surface
speed sprayer
spherical virus
spiral grain
splash erosion
spontaneous mutation
spot treatment
spring crop
spring cropping
spring flowering
spring planting
spring seeding
spring sowing
spring wheat
sprinkler irrigation
stable manure
stack silo
stagnant water
stall barn
staminate flower
stand density
stand type
standard error
standard solution
standard temperature
standard variety
staple food
starch content
starch value
stationary phase
statistical analysis
statistical genetics
steady state
steam disinfection
steam heating
steam sterilization
steering wheel
stem analysis
stem length
sterilizing action
stock farm
stock preservation
stomatal aperture
stone fruit
storage disorder
storage effect
storage organ
storage quality
stored seed
straight grain
stripe seeding
structural plywood
stylar scar
subalpine zone
submerged culture
subsoil breaking
substitution line
substrate mycelia
subsurface soil
subterranean stem
subtropical zone
suburban forest
succeeding cropping
sucker inhibitor
summer annual
summer buckwheat
summer flowering
summer manuring
summer pruning
summer sowing
sun tree
sunshine hours
suppressive soil
surface runoff
surface soil
susceptible variety
suspension culture
synthetic medium
synthetic milk
synthetic variety
systemic infection
table variety
taking root
tall oil
target organ
taste substance
tea field
tea manufacturing
tea plant
temperate forest
temperate zone
temperature coefficient
temperature range
tensile stress
terminal flower
test field
test piece
therapeutic effect
thermal analysis
thermal conductivity
thermophilic bacteria
thickening growth
thousand-kernel weight
three-crop system
thyroid gland
thyroid hormone
tidal flat
tidal river
tidal zone
tillering stage
tilling device
timber yard
tip burn
tip drying
tissue culture
top end
top soil
total nitrogen
total weight
tower silo
trace element
tractive force
trade name
transmitting insect
transplantation time
transplanting injury
travel reduction
treatment stall
tree crown
tree form
trellis training
tropical forest
tropical soil
truck farming
true digestibility
true protein
trunk girth
turbulent flow
turf grass
turgor pressure
two-crop system
type culture
ultraviolet rays
under cooking
underground part
unfertilized egg
upland cropping
upland field
upland soil
upper roller
urinary bladder
uterine irrigation
vacuum cooling
vacuum drying
variance analysis
variance component
varietal characteristics
vascular browning
vascular bundle
vegetable growing
vegetation period
vegetative cell
vegetative propagation
vegetative stage
ventilation dryer
vertical integration
viable seed
victoria lawn
view point
village community
vinyl house
visual field
visual sense
void ratio
volatile compound
warm season
water balance
water buffalo
water contamination
water core
water culture
water cup
water deficit
water erosion
water leakage
water management
water permeability
water pollution
water requirement
water rot
water treatment
watershed management
weaning stage
weaning weight
weather forecast
weed control
weed damage
weeding system
wheat bran
wheat flour
wheat starch
wheat straw
wheel weight
white liquor
white rot
wholesale market
wholesale price
wide adaptation
wide spacing
wild ancestor
wild boar
wild grass
wild population
wild relatives
wild species
wild type
wildlife refuge
wilt disease
wind damage
wind direction
wind erosion
wind pollination
wind speed
wind tunnel
windbreak forest
winter annual
winter bud
winter crop
winter cropping
winter pruning
winter solstice
winter sowing
winter wheat
wood preservation
woody plant
workable days
working capacity
working efficiency
working performance
wound cork
wound infection
x-ray diffraction
yeast extract
yellow soil
yield component
yield decrease
yield table
yielding ability
young panicle
young shoot
young stock
young tree
zoological garden
