absorption probability
ionization limit
irradiation hardening
irreducible representation
irreducible tensor
isotope analysis
isotropic turbulence
kalman filter
kerr effect
kinematical theory
kirkendall effect
kondo effect
lamb wave
larmor frequency
laser annealing
laser cooling
laser diode
laser processing
laser spectroscopy
lattice defect
lattice plane
laue zone
lawson criterion
layered crystal
layered material
lepton number
level spacing
light modulation
linear dichroism
linear viscoelasticity
local interaction
london equation
loss cone
luminous efficacy
lyapunov function
magnetic ion
magnetic modulation
magnetic monopole
magnetic polaron
magnetic reconnection
magnetocaloric effect
magnetocrystalline anisotropy
magnetoelectric effect
majority carrier
martensitic transformation
master equation
meissner effect
melt growth
mesopic vision
metallic crystal
michelson interferometer
microcanonical ensemble
microwave heating
microwave instability
minimization problem
misfit dislocation
mobility edge
modal noise
modulated structure
molecular image
molecular integral
molecular science
morse potential
mott insulator
mueller matrix
multilayer film
multiphase flow
multiphoton absorption
multipole expansion
nernst effect
network structure
neutrino oscillation
newtonian fluid
nmr imaging
noise resistance
nonlinear optics
nonlinear spectroscopy
nonlinear susceptibility
nonlinear viscoelasticity
normalized emittance
nuclear magneton
nuclear transmutation
number operator
observation equation
octahedral site
optical amplifier
optical confinement
optical depth
optical strain
ordered lattice
organic semiconductor
orientational order
oscillator strength
overhauser effect
overlap integral
oxidation number
partition function
passive filter
path integral
peclet number
peierls transition
penning effect
penning ionization
periodic potential
perovskite structure
phase average
phase conjugation
phase grating
phase margin
phase matching
phase mode
phase space
phonon scattering
photoelectric absorption
photoelectron spectroscopy
piezoelectric element
pionic atom
planck constant
plasma potential
plasmon excitation
pockels effect
poincare sphere
poisson ratio
polarization analysis
polarization charge
polarization current
polarization spectroscopy
polarization tensor
polycrystalline material
position resolution
positron emission
poynting vector
precursor state
primary beam
propagation constant
proton decay
pulse motor
pulsed laser
pumping source
pycnonuclear reaction
quadrupole deformation
quadrupole interaction
quadrupole magnet
quantization axis
quantum gravity
quantum noise
quantum optics
quantum well
radiation impedance
radiation law
radiation pressure
radiative correction
radiative recombination
raman microprobe
raman scattering
random matrix
range straggling
rayleigh number
reconstructed image
refrigeration capacity
relaxation function
relaxation oscillation
relaxation spectrum
renormalization group
resonance state
resonant interaction
retardation time
reverberation time
reynolds number
reynolds stress
ring laser
rocking curve
rotation angle
rotation group
roughening transition
rutile structure
rydberg atoms
rydberg series
rydberg state
sampling theorem
saturation polarization
scalar field
scalar potential
scale invariance
scattering angle
scattering length
scattering operator
scattering theory
scattering vector
schottky barrier
schottky diode
schrodinger equation
schwinger model
screening constant
screw dislocation
semiclassical theory
semiconductor laser
semileptonic decay
septum magnet
shape resonance
shearing interferometer
slater determinant
space group
space inversion
space physics
spin echo
spin glass
spin polarization
spin wave
spinodal decomposition
spinor field
standard cell
stationary current
statistical operator
stochastic integral
storage modulus
storage ring
strange quark
stress relaxation
strouhal number
structural relaxation
structure image
superexchange interaction
superionic conductor
superlattice dislocation
superlattice reflection
superlattice structure
superstring theory
surface characterization
surface magnetism
surface phonon
surface plasmon
surface relaxation
surface segregation
symmetry breakdown
symplectic group
synchrotron oscillation
t quark
tandem mirror
taylor series
tearing instability
tensor operator
tensor product
thermal wave
thermogravimetric analysis
thomson scattering
toda lattice
townsend discharge
transferred momentum
transition amplitude
translational order
translational symmetry
transmission grating
transport coefficient
tricritical point
triggered discharge
triplet state
tunnel junction
twin boundary
twist boundary
ultrasonic wave
ultraviolet laser
unitary operator
valence fluctuation
valence quark
valence state
vector product
vibrational excitation
vibrational transition
virtual cathode
virtual work
visible laser
voigt model
volume velocity
vortex line
vortex pair
wake potential
wave mechanics
waveguide laser
weinberg angle
wigner distribution
yag laser
zigzag structure
α particle
α process
α relaxation
β decay
β value
δ function
π orbital
