a priori
specific address
spectrum analysis
specular reflection
speech generation
speech processing
speech production
speech signal
speech synthesis
speech understanding
spindle motor
spline function
spline interpolation
spread sheet
stable state
stack machine
stand alone
stand-by redundancy
standard cell
standard deviation
standard interface
standard pattern
start point
state transition
static structure
statistical analysis
statistical information
stochastic process
stochastic programming
storage area
storage capacity
storage device
storage management
string data
strongly connected
structural analysis
structure description
structure editor
structured analysis
structured design
student model
successive approximation
super computer
support program
support system
surface model
surface structure
switching equipment
switching function
switching network
switching systems
switching time
symbol manipulation
syntax analysis
syntax checker
syntax rule
synthesis method
system analysis
system architecture
system auditor
system bus
system call
system clock
system component
system configuration
system design
system development
system down
system dynamics
system environment
system evaluation
system failure
system generator
system house
system model
system planning
system resource
system software
system test
systems engineering
tactile sensor
tape feed
target language
target program
task name
technical standards
telecommunication network
telephone network
telephone set
temporal logic
terminal adapter
terminal equipment
terminal user
test bed
test chart
test data
test mode
test pattern
test process
test program
testing system
text database
text knowledge
text mode
texture mapping
theorem prover
thermal conductivity
thermal head
think time
threshold element
threshold function
threshold voltage
tightly coupled
time complexity
time redundancy
time series
timing analyzer
to assemble
to assign
to compare
to compile
to convert
to edit
to expand
to load
to pack
to program
to qualify
to return
to search
to segment
to sort
to transform
token bus
token ring
top-down design
torus network
touch panel
trace scheduling
tracing method
track pitch
transaction data
transaction management
transfer characteristics
transfer function
transfer method
transfer rate
transfer time
transient phenomena
transition diagram
transmission control
transmission loss
transmitted light
transport layer
transport mechanism
transport service
tree network
tree search
tree structure
truncation error
turing machine
turn around
turtle graphics
type definition
type theory
ultrasonic wave
ultraviolet rays
uniform distribution
unit delay
universal language
up time
upper layer
user authentication
user identification
user interface
user terminal
variable block
variable pipeline
variable word
vector processor
vector space
version control
vertical scanning
video data
video game
video ram
video tape
virtual call
virtual channel
virtual file
virtual machine
virtual memory
virtual set
virtual terminal
visual communication
visual property
visual simulation
vme bus
vocal organs
vocal tract
voice mail
voice quality
voice response
voice synthesizer
voltage control
wafer process
waiting time
waveform coding
white noise
window size
wire frame
wired logic
word boundary
word length
word line
word processing
word processor
word spotting
work load
work memory
work standard
work station
working memory
writing speed
