term,term_lemma,difficulty_score
Bose-Einstein condensation,bose - einstein condensation,6.0
Boussinesq approximation,boussinesq approximation,3.0
Bragg diffraction,bragg diffraction,3.0
Bragg reflection,bragg reflection,3.0
Bravais lattice,bravais lattice,3.0
Breit equation,breit equation,4.0
Brewster's angle,brewster 's angle,2.5
Bridgman method,bridgman method,2.0
Brillouin function,brillouin function,2.5
Brillouin scattering,brillouin scattering,3.0
Brillouin zone,brillouin zone,2.0
Brody distribution,brody distribution,3.0
Brownian motion,brownian motion,4.0
Burgers vector,burger vector,1.0
CP invariance,cp invariance,3.0
CP violation,cp violation,3.0
CT,ct,3.0
CT complex,ct complex,3.0
CW laser,cw laser,4.0
CW oscillation,cw oscillation,3.0
Carnot cycle,carnot cycle,3.0
Casimir operator,casimir operator,4.0
Cauchy problem,cauchy problem,1.0
Cauchy-Riemann relations,cauchy - riemann relation,3.0
Chebyshev polynomial,chebyshev polynomial,3.0
Cherenkov radiation,cherenkov radiation,3.0
Compton effect,compton effect,2.0
Compton scattering,compton scattering,3.0
Compton wavelength,compton wavelength,3.0
Cooper pair,cooper pair,1.0
Coriolis force,coriolis force,3.0
Cotton effect,cotton effect,2.5
Couette flow,couette flow,3.0
Coulomb barrier,coulomb barrier,4.0
Coulomb collision,coulomb collision,3.0
Coulomb energy,coulomb energy,4.0
Coulomb excitation,coulomb excitation,3.0
Coulomb force,coulomb force,3.0
Coulomb gap,coulomb gap,3.0
Coulomb gauge,coulomb gauge,3.0
Coulomb integral,coulomb integral,5.0
Coulomb potential,coulomb potential,3.5
Coulomb scattering,coulomb scattering,3.0
Curie constant,curie constant,4.0
Curie point,curie point,1.5
Curie temperature,curie temperature,2.0
Curie-Weiss law,curie - weiss law,2.0
Czochralski method,czochralski method,2.0
DA converter,da converter,3.0
DC,dc,3.0
DNA,dna,4.0
DTA,dta,3.0
DWBA,dwba,3.0
Dalitz plot,dalitz plot,4.0
Debye approximation,debye approximation,3.0
Debye length,debye length,3.0
Debye model,debye model,2.6666666666666665
Debye temperature,debye temperature,2.0
Debye's relaxation,debye 's relaxation,2.5
Debye-Waller factor,debye - waller factor,4.0
Dember effect,dember effect,2.0
Dingle temperature,dingle temperature,2.0
Dirac bracket,dirac bracket,4.0
Dirac equation,dirac equation,4.0
Dirac particle,dirac particle,4.0
Doppler broadening,doppler broaden,4.0
Doppler effect,doppler effect,2.0
Doppler shift,doppler shift,3.5
Doppler width,doppler width,4.0
Doppler-free spectroscopy,doppler - free spectroscopy,2.333333333333333
Drell ratio,drell ratio,3.0
ENDOR,endor,3.0
ESCA,esca,3.0
EXAFS,exafs,3.0
Einstein equation,einstein equation,4.0
Einstein's specific heat,einstein 's specific heat,1.8333333333333333
Ekman layer,ekman layer,3.0
Esaki diode,esaki diode,3.0
Euclidean space,euclidean space,2.0
Euler-Lagrange equation,euler - lagrange equation,4.0
Ewald method,ewald method,2.0
F-center,f - center,3.0
FM,fm,3.0
Fabry-Perot etalon,fabry - perot etalon,3.0
Fabry-Perot interferometer,fabry - perot interferometer,3.0
Fabry-Perot resonator,fabry - perot resonator,3.0
Fano factor,fano factor,4.0
Faraday cup,faraday cup,1.0
Faraday effect,faraday effect,2.0
Fermat's principle,fermat 's principle,2.0
Fermi acceleration,fermi acceleration,3.0
Fermi distribution,fermi distribution,3.0
Fermi energy,fermi energy,4.0
Fermi gas,fermi gas,2.0
Fermi interaction,fermi interaction,3.0
Fermi level,fermi level,3.0
Fermi liquid,fermi liquid,3.0
Fermi momentum,fermi momentum,3.0
Fermi sphere,fermi sphere,3.0
Fermi surface,fermi surface,3.0
Fermi velocity,fermi velocity,3.0
Fermi wavenumber,fermi wavenumber,3.0
Fermi-Dirac distribution,fermi - dirac distribution,3.0
Feynman diagram,feynman diagram,3.0
Fick's law,fick 's law,1.5
Fierz transformation,fierz transformation,3.0
Fizeau interferometer,fizeau interferometer,3.0
Fock space,fock space,2.0
Fokker-Planck equation,fokker - planck equation,4.0
Fourier analysis,fouri analysis,3.0
Fourier expansion,fouri expansion,4.0
Fourier integral,fourier integral,5.0
Fourier series,fourier series,3.0
Fourier synthesis,fourier synthesis,6.0
Fourier transform,fourier transform,3.0
Fourier transformation,fouri transformation,3.0
Frank loop,frank loop,2.0
Franz-Keldysh effect,franz - keldysh effect,2.0
Fraunhofer diffraction,fraunhofer diffraction,3.0
Frenkel exciton,frenkel exciton,3.0
Fresnel diffraction,fresnel diffraction,3.0
Fresnel lens,fresnel len,3.0
Fresnel rhomb,fresnel rhomb,3.0
Fresnel zone,fresnel zone,2.0
Fresnel zone plate,fresnel zone plate,2.0
Friedel sum rule,friedel sum rule,1.75
Froude number,froude number,1.0
G matrix,g matrix,3.0
GIC,gic,3.0
GM counter,gm counter,3.5
Galerkin's method,galerkin 's method,1.5
Gaussian approximation,gaussian approximation,3.0
Gaussian beam,gaussian beam,4.0
Gaussian distribution,gaussian distribution,3.0
Gaussian model,gaussian model,2.6666666666666665
Gaussian process,gaussian process,3.5
Gibbs free energy,gibbs free energy,3.1666666666666665
Ginzburg-Landau equation,ginzburg - landau equation,4.0
Golay cell,golay cell,3.0
Goldstone boson,goldstone boson,3.0
Goldstone mode,goldstone mode,3.0
Gorsky effect,gorsky effect,2.0
Grashof number,grashof number,1.0
Green function,green function,2.0
Green function method,green function method,2.0
Gunn diode,gunn diode,3.0
Gunn effect,gunn effect,2.0
Hall angle,hall angle,2.5
Hall coefficient,hall coefficient,1.0
Hall effect,hall effect,1.5
Hall element,hall element,2.0
Hall mobility,hall mobility,2.5
Hamilton-Jacobi equation,hamilton - jacobi equation,4.0
Hamiltonian,hamiltonian,3.0
Hamiltonian operator,hamiltonian operator,4.0
Hartree approximation,hartree approximation,3.0
Hartree-Fock approximation,hartree - fock approximation,3.0
Hausdorff dimension,hausdorff dimension,4.0
Heisenberg model,heisenberg model,2.6666666666666665
Helmholtz equation,helmholtz equation,4.0
Helmholtz free energy,helmholtz free energy,3.1666666666666665
Helmholtz resonator,helmholtz resonator,3.0
Hermite polynomial,hermite polynomial,3.0
Hermitian operator,hermitian operator,4.0
Higgs mechanism,higgs mechanism,5.0
Hilbert space,hilbert space,2.0
Hilbert transform,hilbert transform,3.0
Hubbard model,hubbard model,2.6666666666666665
Hund rule,hund rule,2.5
IC,ic,3.0
ICRF heating,icrf heating,2.0
ISO,iso,3.0
JIS,ji,3.0
Jahn-Teller effect,jahn - teller effect,2.5
Jones matrix,jones matrix,3.0
Jones vector,jones vector,3.0
Jones zone,jones zone,2.0
Josephson current,josephson current,3.0
Josephson effect,josephson effect,2.0
Josephson frequency,josephson frequency,3.0
Josephson junction,josephson junction,3.0
Jost function,jost function,2.5
Joule heat,joule heat,2.5
Joule heating,joule heating,2.0
K-absorption,k - absorption,3.0
Kalman filter,kalman filter,3.0
Kapitza resistance,kapitza resistance,4.0
KdV equation,kdv equation,4.0
Kelvin method,kelvin method,2.0
Kelvin-Helmholtz instability,kelvin - helmholtz instability,3.0
Kerr effect,kerr effect,2.0
Kikuchi pattern,kikuchi pattern,3.0
Kirchhoff's law,kirchhoff 's law,1.5
Kirkendall effect,kirkendall effect,2.0
Klein-Gordon equation,klein - gordon equation,4.0
Knight shift,knight shift,3.5
Knoop hardness,knoop hardness,3.0
Kondo effect,kondo effect,2.0
Kondo lattice,kondo lattice,3.0
Kondo temperature,kondo temperature,2.0
Kossel line,kossel line,2.5
Kramers doublet,kramers doublet,3.0
Kubo formula,kubo formula,3.0
L-S coupling,l - s coupling,3.0
LC circuit,lc circuit,5.0
LEED,leed,3.0
LET,let,1.0
LS force,ls force,3.0
LSI,lsi,3.0
Lagrange top,lagrange top,2.0
Lagrangian,lagrangian,3.0
Lamb dip,lamb dip,3.5
Lamb shift,lamb shift,3.25
Lamb wave,lamb wave,2.75
Landau damping,landau damp,3.0
Landau diamagnetism,landau diamagnetism,3.0
Landau gauge,landau gauge,3.0
Landau level,landau level,3.0
Landau quantization,landau quantization,3.0
Lang camera,lang camera,1.0
Langevin equation,langevin equation,4.0
Langevin function,langevin function,2.5
Langevin transducer,langevin transducer,3.0
Langmuir probe,langmuir probe,4.0
Langmuir-Blodgett film,langmuir - blodgett film,2.5
Laplace equation,laplace equation,4.0
Laplace transformation,laplace transformation,3.0
Laplacian,laplacian,3.0
Larmor diamagnetism,larmor diamagnetism,3.0
Larmor frequency,larmor frequency,3.0
Larmor precession,larmor precession,3.0
Larmor radius,larmor radius,3.0
Laue function,laue function,2.5
Laue method,laue method,2.0
Laue pattern,laue pattern,3.0
Laue spot,laue spot,2.5
Laue zone,laue zone,2.0
Laval nozzle,laval nozzle,3.0
Laves phase,lave phase,5.0
Lawson criterion,lawson criterion,3.0
Legendre polynomial,legendre polynomial,3.0
Lennard-Jones potential,lennard - jones potential,3.5
Lie algebra,lie algebra,2.5
Lie group,lie group,2.25
Lie product,lie product,2.25
Lifshitz invariant,lifshitz invariant,3.0
Liouville's equation,liouville 's equation,2.5
London equation,london equation,4.0
Lorentz force,lorentz force,3.0
Lorentz gauge,lorentz gauge,3.0
Lorentz group,lorentz group,2.0
Lorentz invariance,lorentz invariance,3.0
Lorentz local field,lorentz local field,1.5
Lorentz transformation,lorentz transformation,3.0
Lyapunov function,lyapunov function,2.5
Lyman series,lyman series,3.0
Lyman α line,lyman α line,2.5
M-center,m - center,3.0
MBE,mbe,3.0
MHD power generation,mhd power generation,2.0
MIS structure,mis structure,2.0
MO method,mo method,2.0
MOS diode,mos diode,3.0
MOS field-effect transistor,mos field - effect transistor,2.3333333333333335
MOS structure,mos structure,2.0
Mach number,mach number,1.0
Mach-Zehnder interferometer,mach - zehnder interferometer,3.0
Magnus effect,magnus effect,2.0
Majorana particle,majorana particle,4.0
Maxwell distribution,maxwell distribution,3.0
Maxwell model,maxwell model,2.6666666666666665
Maxwell stress,maxwell stress,3.5
Maxwell's equations,maxwell 's equation,2.5
Maxwell-Boltzmann distribution,maxwell - boltzmann distribution,3.0
Meissner effect,meissner effect,2.0
Michelson interferometer,michelson interferometer,3.0
Mie scattering,mie scattering,3.0
Minkowski space-time,minkowski space - time,2.25
Monte Carlo method,monte carlo method,2.0
Montgomery method,montgomery method,2.0
Morse potential,morse potential,3.5
Mott insulator,mott insulator,3.0
Mott scattering,mott scattering,3.0
Mott transition,mott transition,4.0
Mueller matrix,mueller matrix,3.0
NMR,nmr,3.0
NMR imaging,nmr imaging,3.0
Navier-Stokes equation,navier - stoke equation,4.5
Neel state,neel state,3.333333333333333
Neel temperature,neel temperature,2.0
Neel wall,neel wall,1.0
Nernst effect,nernst effect,2.0
Newton's equation of motion,newton 's equation of motion,2.5
Newtonian flow,newtonian flow,3.0
Newtonian fluid,newtonian fluid,4.0
Newtonian mechanics,newtonian mechanic,3.0
Newtonian viscosity,newtonian viscosity,3.0
Noether's theorem,noether 's theorem,1.0
Nusselt number,nusselt number,1.0
Ohm's law,ohm 's law,1.5
Overhauser effect,overhauser effect,2.0
Pauli paramagnetism,pauli paramagnetism,3.0
Pauli's exclusion principle,pauli 's exclusion principle,2.6666666666666665
Peclet number,peclet number,1.0
Peierls potential,peierl potential,3.5
Peierls transition,peierl transition,4.0
Peltier effect,peltier effect,2.0
Penning discharge,pen discharge,2.5
Penning effect,pen effect,1.5
Penning ionization,pen ionization,1.0
Penrose pattern,penrose pattern,3.0
Pirani gauge,pirani gauge,3.0
Planck constant,planck constant,4.0
Pockels effect,pockel effect,2.0
Poincare sphere,poincare sphere,3.0
Poiseuille flow,poiseuille flow,3.0
Poisson bracket,poisson bracket,4.0
Poisson equation,poisson equation,4.0
Poisson ratio,poisson ratio,3.0
Poynting vector,poynte vector,3.0
Prandtl number,prandtl number,1.0
Q-branch,q - branch,2.5
Q-switched laser,q - switch laser,3.5
Q-value,q - value,3.0
QCD,qcd,3.0
QED,qed,3.0
R-branch,r - branch,2.5
RF acceleration,rf acceleration,3.0
RF plugging,rf plugging,3.0
RHEED,rheed,3.0
RNA,rna,3.0
Raman active,raman active,3.0
Raman effect,raman effect,2.0
Raman laser,raman laser,4.0
Raman microprobe,raman microprobe,3.0
Raman scattering,raman scattering,3.0
Raman spectroscopy,raman spectroscopy,3.0
Raman-Nath diffraction,raman - nath diffraction,3.0
Rankine-Hugoniot relations,rankine - hugoniot relation,3.0
Rayleigh number,rayleigh number,1.0
Rayleigh scattering,rayleigh scattering,3.0
Rayleigh wave,rayleigh wave,2.5
Rayleigh-Taylor instability,rayleigh - taylor instability,3.0
Reynolds number,reynolds number,1.0
Reynolds stress,reynolds stress,3.5
Rowland circle,rowland circle,2.0
Rutherford scattering,rutherford scattering,3.0
Rydberg atoms,rydberg atom,2.0
Rydberg series,rydberg series,3.0
Rydberg state,rydberg state,3.333333333333333
S-matrix,s - matrix,3.0
SI,si,3.0
SN ratio,sn ratio,3.0
SQUID,squid,3.0
Savart plate,savart plate,2.0
Schmidt camera,schmidt camera,1.0
Schmidt number,schmidt number,1.0
Schottky barrier,schottky barrier,4.0
Schottky defect,schottky defect,3.0
Schottky diode,schottky diode,3.0
Schottky effect,schottky effect,2.0
Schottky type specific heat,schottky type specific heat,2.1666666666666665
Schrodinger equation,schrodinger equation,4.0
Schwinger model,schwinger model,2.6666666666666665
Seebeck effect,seebeck effect,2.0
Sellmeier's dispersion formula,sellmeier 's dispersion formula,2.0
Shubnikov-de Haas effect,shubnikov - de haas effect,2.0
Skyrme force,skyrme force,3.0
Slater determinant,slater determinant,3.0
Snell's law,snell 's law,1.5
Snoek peak,snoek peak,4.0
Stanton number,stanton number,1.0
Stark effect,stark effect,2.0
Stark ladder,stark ladder,3.0
Stokes stream function,stokes stream function,2.75
Stoner's theory,stoner 's theory,2.0
Strouhal number,strouhal number,1.0
TGA,tga,3.0
TLD,tld,3.0
TPC,tpc,3.0
Taylor expansion,taylor expansion,4.0
Taylor series,taylor series,3.0
Thomson scattering,thomson scattering,3.0
Toda lattice,toda lattice,3.0
Tomonaga-Luttinger model,tomonaga - lutting model,2.6666666666666665
Townsend discharge,townsend discharge,4.0
Twyman-Green interferometer,twyman - green interferometer,1.5
UPS,up,1.5
Umklapp process,umklapp process,3.5
Urbach rule,urbach rule,2.5
VB method,vb method,2.0
VLS mechanism,vls mechanism,5.0
VLSI,vlsi,3.0
Van de Graaff accelerator,van de graaff accelerator,3.0
Vegard's law,vegard 's law,1.5
Verdet constant,verdet constant,4.0
Verneuil method,verneuil method,2.0
Vickers hardness,vickers hardness,3.0
Vlasov equation,vlasov equation,4.0
Voigt model,voigt model,2.6666666666666665
WKB method,wkb method,2.0
Wannier exciton,wanni exciton,3.0
Ward-Takahashi identity,ward - takahashi identity,3.0
Weber number,weber number,1.0
Weinberg angle,weinberg angle,4.0
Weinberg-Salam model,weinberg - salam model,2.6666666666666665
Weiss temperature,weiss temperature,2.0
Weissenberg camera,weissenberg camera,1.0
Weyl equation,weyl equation,4.0
Wiedemann-Franz law,wiedemann - franz law,2.0
Wigner crystal,wigner crystal,3.0
Wigner distribution,wigner distribution,3.0
Wollaston prism,wollaston prism,3.0
X-ray astronomy,x - ray astronomy,3.0
X-ray diffraction,x - ray diffraction,2.0
X-ray generator,x - ray generator,2.0
X-ray interferometer,x - ray interferometer,2.0
X-ray laser,x - ray laser,3.0
X-ray optics,x - ray optic,2.0
X-ray photoelectron spectroscopy,x - ray photoelectron spectroscopy,2.0
X-ray spectroscopy,x - ray spectroscopy,2.0
X-ray structure analysis,x - ray structure analysis,2.3333333333333335
X-ray topography,x - ray topography,4.0
X-ray tube,x - ray tube,1.5
YAG laser,yag laser,4.0
Yang-Mills theory,yang - mill theory,3.5
Young's experiment,young 's experiment,1.8333333333333333
Young's modulus,young 's modulus,1.0
Yukawa potential,yukawa potential,3.5
Z0 boson,z0 boson,3.0
Zeeman effect,zeeman effect,2.0
Zeeman energy,zeeman energy,4.0
Zeeman splitting,zeeman splitting,3.0
aberration,aberration,6.0
abnormal glow discharge,abnormal glow discharge,3.6666666666666665
abnormal grain growth,abnormal grain growth,3.3333333333333335
absolute configuration,absolute configuration,4.0
absolute magnitude,absolute magnitude,4.0
absolute measurement,absolute measurement,3.5
absolute rotation,absolute rotation,4.0
absolute temperature,absolute temperature,3.0
absolute zero,absolute zero,4.0
absorbance,absorbance,3.0
absorbed dose,absorb dose,3.5
absorptiometry,absorptiometry,3.0
absorption,absorption,3.0
absorption band,absorption band,1.0
absorption coefficient,absorption coefficient,3.0
absorption cross section,absorption cross section,1.5
absorption edge,absorption edge,3.0
absorption model,absorption model,2.6666666666666665
absorption probability,absorption probability,3.0
absorption spectrum,absorption spectrum,3.0
absorptivity,absorptivity,3.0
abundance,abundance,4.5
accelerating tube,accelerate tube,1.0
acceleration,acceleration,3.0
acceleration potential,acceleration potential,3.5
acceleration voltage,acceleration voltage,3.0
accelerator,accelerator,3.0
accelerometer,accelerometer,3.0
acceptance,acceptance,3.0
acceptor,acceptor,3.0
acceptor level,acceptor level,3.0
accommodation,accommodation,4.0
accommodation coefficient,accommodation coefficient,4.0
accretion disk,accretion disk,3.0
accumulation layer,accumulation layer,3.0
accumulation point,accumulation point,1.5
accumulation ring,accumulation ring,1.5
accumulator,accumulator,3.0
accuracy,accuracy,3.0
acoustic emission,acoustic emission,5.0
acoustic impedance,acoustic impedance,5.0
acoustic microscope,acoustic microscope,4.5
acoustic mode,acoustic mode,5.0
acoustic resistance,acoustic resistance,4.5
acoustic transducer,acoustic transducer,5.0
acoustic tube,acoustic tube,3.0
acoustical holography,acoustical holography,3.0
acoustically induced birefringence,acoustically induce birefringence,5.5
acoustics,acoustic,5.0
actinides,actinide,3.0
actinometry,actinometry,3.0
action,action,1.0
action integral,action integral,3.0
action potential,action potential,2.25
action spectrum,action spectrum,1.0
activation,activation,3.0
activation analysis,activation analysis,3.0
activation energy,activation energy,4.0
activation volume,activation volume,3.0
active center,active center,3.0
active element,active element,3.0
active medium,active medium,3.0
active power,active power,2.5
activity,activity,1.0
adaptation,adaptation,3.0
adaptive control,adaptive control,2.5
adatom,adatom,3.0
addition polymerization,addition polymerization,2.0
additional heating,additional heating,2.0
additive,additive,6.0
additivity,additivity,3.0
adhesion,adhesion,6.0
adhesives,adhesive,3.0
adiabatic,adiabatic,3.0
adiabatic approximation,adiabatic approximation,3.0
adiabatic change,adiabatic change,1.0
adiabatic compressibility,adiabatic compressibility,3.0
adiabatic compression,adiabatic compression,4.0
adiabatic demagnetization,adiabatic demagnetization,3.0
adiabatic expansion,adiabatic expansion,4.0
adiabatic invariant,adiabatic invariant,3.0
adiabatic potential,adiabatic potential,3.5
adiabatic potential surface,adiabatic potential surface,3.25
adiabatic process,adiabatic process,3.5
adiabatic theorem,adiabatic theorem,3.0
adjoint,adjoint,3.0
admittance,admittance,3.0
adsorbent,adsorbent,3.0
adsorption,adsorption,3.0
adsorption isotherm,adsorption isotherm,3.0
adsorption structure,adsorption structure,2.0
adsorption time,adsorption time,2.5
advection,advection,3.0
aeolian tone,aeolian tone,3.5
aerodynamics,aerodynamic,3.0
aerofoil,aerofoil,3.0
aerosol,aerosol,3.0
affinity,affinity,3.0
after effect,after effect,2.0
afterglow,afterglow,3.0
aggregation,aggregation,3.0
aging,age,1.0
air capacitor,air capacitor,2.0
air temperature,air temperature,2.0
airfoil,airfoil,3.0
albedo,albedo,3.0
alignment,alignment,5.0
alkali halide,alkali halide,3.0
alkali metal,alkali metal,2.0
allotrope,allotrope,3.0
allowance,allowance,3.0
allowed transition,allow transition,3.0
alloy,alloy,3.0
alternating current,alternate current,3.5
alternating electromotive force,alternate electromotive force,3.5
alternating voltage,alternate voltage,4.0
ambipolar diffusion,ambipolar diffusion,3.0
amorphous,amorphous,6.0
amorphous metal,amorphous metal,4.0
amorphous semiconductor,amorphous semiconductor,6.0
ampere,ampere,3.0
amplification,amplification,5.0
amplification factor,amplification factor,4.5
amplified spontaneous emission,amplify spontaneous emission,4.5
amplifier,amplifier,4.0
amplitude,amplitude,3.0
amplitude hologram,amplitude hologram,3.0
amplitude mode,amplitude mode,3.0
amplitude modulation,amplitude modulation,3.0
amplitude reflectance,amplitude reflectance,3.0
amplitude transmittance,amplitude transmittance,3.0
analog circuit,analog circuit,5.0
analog signal,analog signal,4.0
analysis,analysis,3.0
analytic continuation,analytic continuation,3.0
analytic solution,analytic solution,2.0
analyticity,analyticity,3.0
analyzer,analyzer,3.0
anechoic room,anechoic room,2.0
anelasticity,anelasticity,3.0
anemometer,anemometer,3.0
angle of attack,angle of attack,2.3333333333333335
angle of diffraction,angle of diffraction,2.5
angle of incidence,angle of incidence,2.5
angle of reflection,angle of reflection,2.6666666666666665
angle of refraction,angle of refraction,2.5
angle of rotation,angle of rotation,2.5
angle variable,angle variable,4.0
angstrom,angstrom,3.0
angular acceleration,angular acceleration,6.0
angular correlation,angular correlation,6.0
angular dispersion,angular dispersion,6.0
angular distribution,angular distribution,4.5
angular frequency,angular frequency,4.5
angular momentum,angular momentum,6.0
angular momentum transfer,angular momentum transfer,4.75
angular velocity,angular velocity,6.0
anharmonic oscillator,anharmonic oscillator,3.0
anharmonic term,anharmonic term,3.0
anharmonicity,anharmonicity,3.0
anion,anion,3.0
anisotropic exchange interaction,anisotropic exchange interaction,2.75
anisotropy,anisotropy,3.0
anisotropy constant,anisotropy constant,4.0
anisotropy energy,anisotropy energy,4.0
annealing,anneal,3.0
annihilation radiation,annihilation radiation,3.0
anode,anode,3.0
anode fall,anode fall,2.5
anomalous Hall effect,anomalous hall effect,1.5
anomalous diffusion,anomalous diffusion,3.0
anomalous dimension,anomalous dimension,4.0
anomalous dispersion,anomalous dispersion,3.0
anomalous magnetic moment,anomalous magnetic moment,3.0
anomalous skin effect,anomalous skin effect,2.5
anomalous transmission,anomalous transmission,4.0
anomaly,anomaly,3.0
antenna,antenna,3.0
antibonding orbital,antibonde orbital,3.0
antiferroelectricity,antiferroelectricity,3.0
antiferromagnet,antiferromagnet,3.0
antiferromagnetic resonance,antiferromagnetic resonance,3.0
antiferromagnetism,antiferromagnetism,3.0
antimatter,antimatter,3.0
antineutrino,antineutrino,3.0
antinucleon,antinucleon,3.0
antioxidant,antioxidant,3.0
antiphase boundary,antiphase boundary,3.0
antiphase domain,antiphase domain,3.0
antiproton,antiproton,3.0
antireflection coating,antireflection coating,3.0
antiresonance,antiresonance,3.0
antisymmetric,antisymmetric,3.0
antisymmetric exchange interaction,antisymmetric exchange interaction,2.75
anvil,anvil,3.0
aperiodic system,aperiodic system,2.0
aperture,aperture,3.0
aperture synthesis,aperture synthesis,6.0
apodization,apodization,3.0
appearance potential,appearance potential,2.75
approximate solution,approximate solution,3.0
approximation,approximation,3.0
aqueous solution,aqueous solution,2.0
arc,arc,3.0
arc characteristics,arc characteristic,3.5
arc discharge,arc discharge,4.0
arc lamp,arc lamp,2.0
are,be,1.0
arithmetic circuit,arithmetic circuit,4.0
arithmetic mean,arithmetic mean,2.6666666666666665
arm,arm,2.0
armature,armature,3.0
articulation,articulation,6.0
artificial satellite,artificial satellite,2.5
aspect ratio,aspect ratio,3.0
aspherical lens,aspherical len,3.0
association,association,2.0
astigmatism,astigmatism,3.0
astronomy,astronomy,4.0
astrophysics,astrophysic,3.0
asymptotic expansion,asymptotic expansion,4.0
asymptotic field,asymptotic field,1.0
asymptotic freedom,asymptotic freedom,2.0
asymptotic series,asymptotic series,3.0
asymptotic solution,asymptotic solution,2.0
atmosphere,atmosphere,3.0
atmospheric pressure,atmospheric pressure,3.5
atom,atom,2.0
atomic beam,atomic beam,3.5
atomic beam scattering,atomic beam scattering,3.5
atomic collision,atomic collision,3.0
atomic core,atomic core,3.5
atomic energy,atomic energy,3.5
atomic mass,atomic mass,3.25
atomic model,atomic model,2.833333333333333
atomic nucleus,atomic nucleus,3.0
atomic number,atomic number,2.0
atomic orbital,atomic orbital,3.0
atomic physics,atomic physics,3.0
atomic radius,atomic radius,3.0
atomic spectrum,atomic spectrum,3.0
atomic structure,atomic structure,2.5
atomic volume,atomic volume,3.0
atomic weight,atomic weight,2.5
atomizing,atomizing,3.0
attachment,attachment,3.0
attenuated total reflection,attenuate total reflection,3.0
attenuation,attenuation,3.0
attenuation coefficient,attenuation coefficient,3.0
attenuation constant,attenuation constant,4.0
attenuation length,attenuation length,3.0
attenuator,attenuator,3.0
attraction,attraction,3.0
attractive force,attractive force,2.5
audible sound,audible sound,2.6666666666666665
audio frequency,audio frequency,2.5
aurora,aurora,3.0
austenite,austenite,3.0
autocollimation,autocollimation,3.0
autocorrelation function,autocorrelation function,2.5
autoionization,autoionization,3.0
autoionizing state,autoionize state,3.333333333333333
automatic control,automatic control,3.0
automaton,automaton,3.0
available energy,available energy,3.5
average molecular weight,average molecular weight,2.0
average potential,average potential,2.75
average power,average power,2.0
average value,average value,2.5
avoided crossing,avoid crossing,2.5
axial ratio,axial ratio,3.0
axial vector,axial vector,3.0
axial vector current,axial vector current,3.0
azimuth,azimuth,3.0
azimuth polarimeter,azimuth polarimeter,3.0
azimuthal angle,azimuthal angle,4.0
azimuthal quantum number,azimuthal quantum number,1.0
b quark,b quark,3.0
back flow,back flow,2.375
backbending,backbende,3.0
background,background,2.0
background noise,background noise,1.5
background radiation,background radiation,2.5
backing pressure,back pressure,1.875
backscattering,backscatter,3.0
baffle,baffle,3.0
bag model,bag model,1.8333333333333333
baking,bake,2.0
balance,balance,3.5
ballistic galvanometer,ballistic galvanometer,3.0
ballistic mode,ballistic mode,3.0
ballooning instability,ballooning instability,3.0
band,band,1.0
band crossing,band cross,1.5
band gap,band gap,2.0
band model,band model,1.8333333333333333
band noise,band noise,1.0
band spectrum,band spectrum,1.0
band structure,band structure,1.5
band system,band system,1.5
