acetylcholine esterase
masticatory rhythm
matrix vesicle
maxillofacial surgery
mediastinal shift
medical device
medicolegal autopsy
melanin pigmentation
membrane current
mesenchymal chondrosarcoma
metabolic turnover
metal allergy
methyl methacrylate
minute ventilation
missense mutation
mitomycin c
mixed dentition
mobile phase
monoclonal antibody
monoclonal gammopathy
monocytic leukemia
monolayer culture
motor aphasia
motor learning
mucinous adenocarcinoma
mucinous carcinoma
mucoepidermoid carcinoma
muscarinic action
muscarinic receptor
muscle fatigue
muscle pump
muscle rigidity
muscle training
mycolic acid
myeloma cell
myeloproliferative syndrome
myoclonic epilepsy
nasal cannula
nasotracheal intubation
negative staining
neisseria gonorrhoeae
neonatal tooth
nerve damage
nerve stimulator
nk cell
noninvasive measurement
noninvasive monitoring
nonionic surfactant
nutrition guidance
occlusal guidance
occlusal relationship
odontogenic cyst
odontogenic infection
open bite
operative stress
ophthalmic preparation
ophthalmic solution
opioid peptide
optimum temperature
oral anticoagulant
oral candidiasis
organ toxicity
oropharyngeal intubation
orotracheal intubation
orthostatic dysregulation
orthostatic hypotension
osmotic diuretic
ossifying fibroma
osteoid osteoma
oxygen cylinder
oxygen debt
oxygen electrode
oxygen mask
oxygenated hemoglobin
pain behavior
pain clinic
panoramic radiograph
panoramic radiography
paradoxical breathing
parenteral nutrition
parosteal osteosarcoma
pediatric dentistry
periodontal ligament
periodontal surgery
peripheral action
peyer patch
phenotypic variation
phosphatidic acid
placebo effect
plaque control
plasminogen activator
platelet transfusion
pleomorphic adenoma
plexus papilloma
porphyromonas gingivalis
postoperative pain
postsynaptic potential
postural hypotension
preclinical test
preoperative evaluation
preparation examples
primary amyloidosis
primary palate
prismless enamel
projected pain
prolyl hydroxylase
promyelocytic leukemia
protective glove
protein kinase
psychogenic pain
psychosomatic disorder
psychosomatic medicine
pulmonary hypertension
qrs complex
radiation necrosis
receptor potential
recombinant dna
recurrent fever
regional anesthesia
regional block
regulator gene
regulatory gene
resident flora
residual monomer
resin filling
resin restoration
resistance vessel
respiratory alkalosis
respiratory movement
respiratory muscle
restriction endonuclease
restriction enzyme
retention effect
reticular formation
retrograde degeneration
reverse transcriptase
risk factor
rna polymerase
rna virus
root resection
salivary protein
salvage pathway
sarcoplasmic reticulum
schiff base
sclerosing hemangioma
sealed source
secondary amyloidosis
secondary prevention
secondary response
secretory granule
secretory iga
segmental resection
sensory neuron
sensory organ
septic shock
serine protease
serotonin antagonist
sialic acid
silane coupling
silane treatment
sinoatrial block
sinoatrial node
sjogren syndrome
smeared layer
sodium channel
sodium hydrogencarbonate
somatic sensation
species difference
specific ligand
speech disturbance
spinal anesthesia
splice site
stem cell
sternocleidomastoid muscle
storiform pattern
stratum basale
stress relaxation
subglottic stenosis
suction catheter
suction drainage
sugar control
supernumerary tooth
superoxide dismutase
surface caries
surgical stress
synaptic vesicle
synovial sarcoma
t cell
tangier disease
team treatment
termination codon
tertiary prevention
thermal sensation
thermoplastic resin
thiol protease
tooth germ
topical anesthesia
transcriptional control
transforming growth
transfusion reaction
transient bacteria
treponema denticola
trigger point
trigger zone
tube feeding
tuberous sclerosis
tumor regrowth
tumor volume
uncoated tablet
vacuolar degeneration
vasovagal reflex
vegetative state
ventricular tachycardia
verruciform xanthoma
verrucous carcinoma
vertical infection
vibrio parahaemolyticus
visual pigment
vital sign
vitamin b1
vitamin c
vitamin d3
volatile anesthetic
voltage clamp
wegener granulomatosis
zinc oxide
α blocker
α receptor
α rhythm
α wave
β blocker
β oxidation
β receptor
θ wave
