67ga citrate
mandibular condyle
mandibular hypoplasia
mandibular nerve
mandibular osteomyelitis
mandibular plane
mandibular protrusion
manual method
manual toothbrush
manufacturing licence
masked depression
mass disaster
mass examination
mass spectrometry
masseter muscle
massive bleeding
masticatory efficiency
masticatory force
masticatory load
masticatory muscle
masticatory performance
masticatory rhythm
matrix system
mattress suture
maxillary artery
maxillary nerve
maxillary protrusion
maxillofacial prosthesis
maximal dose
maximum velocity
measuring apparatus
mechanical cleaning
mechanical injury
mediastinal emphysema
mediastinal shift
medical device
medical environment
medical examination
medical institution
medical malpractice
medical specialist
medicolegal autopsy
mefenamic acid
melanin pigmentation
membrane oxygenator
membrane potential
mental foramen
mental nerve
mentalis muscle
mesenchymal chondrosarcoma
mesial rest
messenger rna
metabolic control
metabolic rate
metal base
metal crown
metal ion
metal plate
metaphyseal dysplasia
metastatic tumor
methyl methacrylate
michaelis constant
microbial substitution
mikulicz disease
mikulicz syndrome
minor operation
minute ventilation
missense mutation
mitomycin c
mitotic cycle
mitotic stage
mixed dentition
mixed infection
mobile phase
model material
molecular disease
molluscum contagiosum
monitoring device
monitoring system
monoamine oxidase
monoclonal antibody
monocytic leukemia
monolayer culture
moro reflex
motor age
motor aphasia
motor ataxia
motor learning
motor paralysis
mouth breathing
mucinous adenocarcinoma
mucinous carcinoma
mucoepidermoid carcinoma
mucolytic agent
mucous cyst
mucous granuloma
mucous membrane
mucous plug
multifactorial inheritance
multiple carcinoma
multiple myeloma
multiple sclerosis
mumps virus
muscarinic receptor
muscle fatigue
muscle relaxant
muscle spindle
muscle tone
muscle tonus
muscle training
muscle twitch
muscular dystrophy
muscular relaxation
mutans streptococci
mutation frequency
mutation rate
mycobacterium bovis
mycobacterium tuberculosis
mycolic acid
mycoplasma pneumonia
myeloblastic leukemia
myelogenous leukemia
myeloma cell
myeloma kidney
myocardial depressant
myotonic dystrophy
naf solution
narcotic analgesic
narcotic antagonist
nasal bone
nasal cannula
nasal cavity
nasal drops
nasal mask
nasal respiration
nasal septum
nasotracheal tube
natural antibody
natural death
natural immunity
natural resistance
natural selection
necrotic tissue
needle holder
neisseria gonorrhoeae
neisseria meningitidis
neonatal asphyxia
neonatal jaundice
neonatal period
neonatal tooth
nephrotic syndrome
neural crest
neuromuscular junction
neuromuscular system
neuromuscular transmission
neurotic tendency
neutral fat
new drug
newborn period
nicotinic acid
night guard
nikolsky phenomenon
nitric acid
nitrogen balance
nitrogen oxide
nk cell
noble metal
nociceptive reaction
nocturnal enuresis
non-hodgkin lymphoma
non-rem sleep
noncollagenous protein
noninvasive measurement
nonionic surfactant
nonlinear model
nonossifying fibroma
normal distribution
normal flora
noxious stimulus
nuclear medicine
nucleic acid
nutrient broth
nutrition guidance
nutrition survey
nutritional disturbance
nutritional requirement
nutritional status
obligate anaerobe
oblique line
occipital bone
occlusal force
occlusal guidance
occlusal plane
occlusal position
occlusal pressure
occlusal relationship
occult blood
occupational disease
odontogenic infection
ointment base
oleic acid
open bite
open reduction
operating room
operative dentistry
operative position
operative risk
ophthalmic nerve
ophthalmic solution
optical illusion
optical isomer
optical rotation
optimum ph
optimum temperature
oral anticoagulant
oral cancer
oral contraceptive
oral examination
oral health
oral hygiene
oral infection
oral mucosa
oral respiration
oral surgery
orbital plane
organ culture
organ toxicity
organic disease
oriental medicine
oropharyngeal intubation
orotracheal intubation
orthodontic appliance
orthodontic force
orthophosphoric acid
orthostatic hypotension
osmotic diuretic
ossifying fibroma
osteogenesis imperfecta
osteogenic sarcoma
osteoid tissue
outer membrane
oxalate stone
oxygen affinity
oxygen content
oxygen cylinder
oxygen debt
oxygen deficiency
oxygen demand
oxygen effect
oxygen mask
oxygen requirement
oxygen therapy
oxygen toxicity
oxygen uptake
oxygenated hemoglobin
pachyonychia congenita
package insert
pain behavior
pain clinic
pain spot
pain threshold
palisade arrangement
pancreatic calculus
panoramic radiograph
panoramic radiography
pantothenic acid
papanicolaou stain
paper chromatography
paper strips
papillary cystadenocarcinoma
papillary hyperplasia
papillon-lefevre syndrome
paradoxical breathing
paranasal sinuses
parasympathetic nerve
parasympatholytic drug
parasympathomimetic drug
parenteral nutrition
parenteral solution
parietal bone
parosteal osteosarcoma
parotid gland
partial denture
partition coefficient
passive agglutination
passive immunity
passive immunization
passive state
pathological anatomy
pathological fracture
pediatric anesthesia
pedicle flap
pedicle graft
pedunculated polyp
penetrating wound
penicillin allergy
peppermint oil
peptide bond
peptone water
periarteritis nodosa
perinatal abnormality
perinatal period
perinuclear space
periodical examination
periodontal disease
periodontal ligament
periodontal membrane
periodontal pocket
periodontal surgery
periodontal tissue
peripheral blood
peripheral resistance
peripheral vasodilator
peritubular matrix
permanent tooth
petit mal
peutz-jeghers syndrome
phantom limb
pharmaceutical preparation
pharmacological action
pharmacological activity
pharyngeal cavity
pharyngeal reflex
pharyngeal tonsil
phase diagram
phase transition
phenotypic variation
phosphoric acid
photographic contrast
physical dependence
physical examination
physical graininess
physical status
physical stimulation
physical therapy
picture image
pigment degeneration
pigmented nevus
pinocytotic vesicle
piriform aperture
pituitary gland
placebo effect
placental barrier
plaque control
plasma cell
plasma concentration
plasma membrane
plasma protein
plasma substitute
plasminogen activator
plastic deformation
plastic operation
plastic surgery
plate denture
platelet aggregation
platelet factor
pleomorphic adenoma
plexiform neurofibroma
point a
point mutation
polyacrylic acid
polycythemia vera
polymorphonuclear leukocyte
polysynaptic reflex
poor risk
population census
population statistics
porphyromonas endodontalis
porphyromonas gingivalis
positive image
post crown
posterior border
postmortem examination
postmortem lividity
postoperative pain
postoperative pneumonia
posttransfusion hepatitis
postural hypotension
potassium hydroxide
potency ratio
preanesthetic medication
precancerous lesion
precipitin reaction
preclinical test
precordial lead
preliminary medication
preliminary test
premature baby
premotor area
prenatal period
preoperative evaluation
pressure anesthesia
pressure breathing
pressure casting
pressure spot
preventive administration
primary amyloidosis
primary culture
primary dentition
primary focus
primary palate
primary response
principal agent
prismless enamel
programming language
projectile vomiting
prolonged apnea
prolyl hydroxylase
prone position
prophylactic administration
proportional counter
protective clothing
protective device
protective glove
protein binding
protein kinase
prothrombin time
pseudomonas aeruginosa
psychic trauma
psychogenic pain
psychological test
psychomotor seizure
psychosomatic disorder
public health
pulmonary circulation
pulmonary edema
pulmonary embolism
pulmonary heart
pulmonary hypertension
pulmonary insufficiency
pulmonary ventilation
pulp chamber
pulp exposure
pulp extirpation
pulp tester
pulse pressure
pulse wave
pulseless disease
purulent inflammation
pyrimidine nucleotide
qrs complex
qt interval
qualitative analysis
quality factor
quantitative character
quincke edema
radiation biology
radiation damage
radiation detector
radiation dosage
radiation dose
radiation effect
radiation hazard
radiation irradiation
radiation necrosis
radiation response
radiation therapy
radiation-induced cancer
radical operation
radioactive contamination
radiographic examination
ramsay-hunt syndrome
random sampling
rapid development
rapid expansion
rapid induction
rate equation
raynaud disease
reaction time
receptive field
receptor potential
recombinant dna
recording system
recovery room
rectal administration
recumbent position
red thrombus
reduced hemoglobin
reducing sugar
reference point
reflex arc
refractory period
regional anesthesia
regulator gene
regulatory gene
reinforced anchorage
rem sleep
renal edema
renin-angiotensin system
residual cyst
residual stress
resin base
resin cement
resin filling
resin matrix
resistance plasmid
resistance vessel
resistant bacteria
resolving power
respiratory acidosis
respiratory alkalosis
respiratory arrest
respiratory center
respiratory chain
respiratory compensation
respiratory depression
respiratory distress
respiratory insufficiency
respiratory movement
respiratory muscle
respiratory obstruction
respiratory pause
respiratory pump
respiratory quotient
respiratory resistance
respiratory tract
resting saliva
restriction endonuclease
restriction enzyme
retarded eruption
retention effect
retentive force
reticular fiber
reticular formation
reticuloendothelial system
retrograde amnesia
retrograde degeneration
retrospective study
reverse transcriptase
reversed occlusion
rh antigen
rheumatic carditis
rheumatoid arthritis
rhythmic segmentation
ribonucleic acid
ribosomal rna
rickettsial disease
risk factor
roc curve
roentgen equivalent
root apex
root length
root planing
root resection
root resorption
root separation
rorschach test
rosette formation
s phase
sagittal plane
salivary amylase
salivary fistula
salivary protein
salivary secretion
salmonella typhi
salvage pathway
sample preparation
sarcoplasmic reticulum
satiety center
scalp flap
scattered radiation
schiff base
school children
sclerosing hemangioma
screen film
screening test
sealed source
secondary amyloidosis
secondary disease
secondary hyperparathyroidism
secondary prevention
secondary response
secretory granule
secretory iga
sedimentation velocity
segmental resection
selective action
selective medium
selective toxicity
self control
self mutilation
senile change
senile disease
senile health
senile keratosis
senile wart
sense organ
sensitivity test
sensitized lymphocyte
sensorimotor area
sensory disturbance
sensory nerve
sensory neuron
sensory paralysis
sensory perception
sensory threshold
septal defect
serine protease
serologic diagnosis
serotonin antagonist
serum cholinesterase
serum hepatitis
serum sickness
setting expansion
setting time
sex chromosome
sex hormone
sex identification
sex-linked inheritance
sezary cell
sezary syndrome
shearing stress
sialic acid
sialogogic effect
side effect
side shift
sign language
signal-to-noise ratio
signet-ring cell
silane coupling
silicate cement
silver alloy
silver halide
simple atrophy
simple diffusion
single blind
single diffusion
singlet oxygen
sinoatrial block
sinoatrial node
sinus arrhythmia
sinus tachycardia
sitting position
situs inversus
sjogren syndrome
skeletal pattern
skin cancer
skin dose
skin graft
skin irritant
skin temperature
sleeping habit
sliding surface
slight fever
slip joint
slow induction
slow muscle
smear test
smeared layer
social adaptability
social insurance
social security
social welfare
social worker
soda lime
sodium channel
sodium fluoride
sodium hydrogencarbonate
sodium hydroxide
sodium hypochlorite
sodium pump
sodium sulfate
soft fibroma
soft palate
solid medium
solid preparations
solubilizing agent
solution treatment
solvent extraction
somatic pain
somatic sensation
somatosensory area
sore throat
spastic paralysis
special sense
specific action
specific activity
specific antibody
specific inflammation
speech development
speech disturbance
speech therapy
sphenoid bone
sphenoidal sinus
spike potential
spinal anesthesia
spinal reflex
splice site
spontaneous fracture
spontaneous mutation
spontaneous respiration
spot welding
stabilizing effect
stable isotope
stainless steel
staphylococcus aureus
staphylococcus epidermidis
static compliance
static sense
stationary phase
stem cell
sternocleidomastoid muscle
sternohyoid muscle
steroid diabetes
steroid hormone
stevens-johnson syndrome
stomach tube
storage condition
storage disease
stored blood
storiform pattern
stratum corneum
stratum granulosum
stratum spinosum
streptococcus pneumoniae
streptolysin o
stroke volume
structural gene
study model
styloid process
subacute inflammation
subcutaneous administration
subcutaneous bleeding
subcutaneous injection
sublingual gland
submandibular gland
submucosal tissue
substance p
sucking reflex
suction drainage
sudden death
sugar control
sulfa drug
sulfuric acid
superficial pain
supernumerary tooth
superoxide dismutase
supine position
surface caries
surface cooling
surface electrode
surface immunoglobulin
surface roughness
surface tension
surgical stress
survey meter
survival rate
swallowing position
swallowing reflex
sympathetic nerve
sympatholytic drug
symptomatic treatment
synaptic cleft
systemic disease
systemic disorder
systemic scleroderma
t cell
tangier disease
target organ
tear test
temperature regulation
temporal bone
temporal fascia
temporary cement
temporomandibular joint
tendon reflex
terminal branch
termination codon
tertiary prevention
test solution
tetanic contraction
tetanic stimulation
therapeutic dose
therapeutic environment
therapeutic index
therapeutic ratio
thermal analysis
thermal decomposition
thermal expansion
thermal sensation
thermal stimulation
thermal stress
thermal sweating
thermoplastic resin
thiol protease
threshold dose
threshold value
thrombocytopenic purpura
thyroglossal duct
thyroid cartilage
tidal volume
time factor
tissue conditioner
tissue culture
tmj ankylosis
tongue habit
tooth crown
tooth extraction
tooth germ
tooth replantation
tooth root
tooth surface
tooth transplantation
topical application
total amnesia
toxicity test
trabecular pattern
tracheal cannula
tracheal tube
tracheoesophageal fistula
traffic accident
transcriptional control
transforming growth
transient bacteria
transition state
transplantation immunity
